word,IPA
සුගතජෝති,s u ɡ ʌ t̪ ʌ ʤ oː t̪ i
සුගතදස,s u ɡ ʌ t̪ ʌ d̪ ʌ s ə
සුගතදාස,s u ɡ ʌ t̪ ʌ d̪ aː s ə
සුගතදාසගේ,s u ɡ ʌ t̪ ʌ d̪ aː s ʌ ɡ eː
සුගතදාසට,s u ɡ ʌ t̪ ʌ d̪ aː s ʌ ʈ ə
සුගතදාසත්,s u ɡ ʌ t̪ ʌ d̪ aː s ʌ t̪
සුගතධමම,s u ɡ ʌ t̪ ʌ d̪ʱ ʌ m ʌ m ə
සුගතධර්මාරාමයේ,s u ɡ ʌ t̪ ʌ d̪ʱ ʌ r m aː r aː m ʌ j eː
සුගතනන්ද,s u ɡ ʌ t̪ ʌ n̪ ʌ n̪ d̪ ə
සුගතපාල,s u ɡ ʌ t̪ ʌ p aː l ə
සුගතපාලගේ,s u ɡ ʌ t̪ ʌ p aː l ʌ ɡ eː
සුගතපාලට,s u ɡ ʌ t̪ ʌ p aː l ʌ ʈ ə
සුගතපාලය,s u ɡ ʌ t̪ ʌ p aː l ʌ j ə
සුගතපාලයන්,s u ɡ ʌ t̪ ʌ p aː l ʌ j ʌ n̪
සුගතබන්ධු,s u ɡ ʌ t̪ ʌ b ʌ n̪ d̪ʱ u
සුගතමුනි,s u ɡ ʌ t̪ ʌ m u n̪ i
සුගතය,s u ɡ ʌ t̪ ʌ j ə
සුගතයනි,s u ɡ ʌ t̪ ʌ j ʌ n̪ i
සුගතයන්,s u ɡ ʌ t̪ ʌ j ʌ n̪
සුගතයහ,s u ɡ ʌ t̪ ʌ j ʌ h ə
සුගතයෙනි,s u ɡ ʌ t̪ ʌ j e n̪ i
සුගතරාමාධිපති,s u ɡ ʌ t̪ ʌ r aː m aː d̪ʱ i p ʌ t̪ i
සුගතවංස,s u ɡ ʌ t̪ ʌ ʋ ʌ s ə
සුගතවර්ධනාරාමය,s u ɡ ʌ t̪ ʌ ʋ ʌ r d̪ʱ ʌ n̪ aː r aː m ʌ j ə
සුගතවුද,s u ɡ ʌ t̪ ʌ ʋ u d̪ ə
සුගතසස,s u ɡ ʌ t̪ ʌ s ʌ s ə
සුගතසේන,s u ɡ ʌ t̪ ʌ s eː n̪ ə
සුගතසෝම,s u ɡ ʌ t̪ ʌ s oː m ə
සුගතා,s u ɡ ʌ t̪
සුගතානන්ද,s u ɡ ʌ t̪ aː n̪ ʌ n̪ d̪ ə
සුගතානන්දයන්,s u ɡ ʌ t̪ aː n̪ ʌ n̪ d̪ ʌ j ʌ n̪
සුගතාරාම,s u ɡ ʌ t̪ aː r aː m ə
සුගතාරාමය,s u ɡ ʌ t̪ aː r aː m ʌ j ə
සුගතාරාමයේ,s u ɡ ʌ t̪ aː r aː m ʌ j eː
සුගතාරාමාධිපති,s u ɡ ʌ t̪ aː r aː m aː d̪ʱ i p ʌ t̪ i
සුගතිගාමී,s u ɡ ʌ t̪ i ɡ aː m iː
සුගතිගාමීව,s u ɡ ʌ t̪ i ɡ aː m iː ʋ ə
සුගතිඳු,s u ɡ ʌ t̪ i ඳ u
සුගතිභවයන්,s u ɡ ʌ t̪ i bʱ ʌ ʋ ʌ j ʌ n̪
සුගතිය,s u ɡ ʌ t̪ i j ə
සුගතියක,s u ɡ ʌ t̪ i j ʌ k ə
සුගතියකම,s u ɡ ʌ t̪ i j ʌ k ʌ m ə
සුගතියක්,s u ɡ ʌ t̪ i j ʌ k
සුගතියට,s u ɡ ʌ t̪ i j ʌ ʈ ə
සුගතියත්,s u ɡ ʌ t̪ i j ʌ t̪
සුගතියෙ,s u ɡ ʌ t̪ i j e
සුගතියෙහි,s u ɡ ʌ t̪ i j e h i
සුගතියේ,s u ɡ ʌ t̪ i j eː
සුගතිවල,s u ɡ ʌ t̪ i ʋ ʌ l ə
සුගතීන්හි,s u ɡ ʌ t̪ iː n̪ h i
සුගතුත්,s u ɡ ʌ t̪ u t̪
සුගතෙ,s u ɡ ʌ t̪ e
සුගතෙට,s u ɡ ʌ t̪ e ʈ ə
සුගතෙත්,s u ɡ ʌ t̪ e t̪
සුගතේන්ද්‍රාරාම,s u ɡ ʌ t̪ eː n̪ d̪ ‍ r aː r aː m ə
සුගතොවාද,s u ɡ ʌ t̪ o ʋ a d̪ ə
සුගතෝ,s u ɡ ʌ t̪ oː
සුගත්,s u ɡ ʌ t̪
සුගත්ගෙ,s u ɡ ʌ t̪ ɡ e
සුගත්ගෙයි,s u ɡ ʌ t̪ ɡ e j i
සුගත්ගේ,s u ɡ ʌ t̪ ɡ eː
සුගත්ට,s u ɡ ʌ t̪ ʈ ə
සුගත්ටත්,s u ɡ ʌ t̪ ʈ ʌ t̪
සුගත්ය,s u ɡ ʌ t̪ j ə
සුගත්ලා,s u ɡ ʌ t̪ l
සුගත්ලාගේ,s u ɡ ʌ t̪ l aː ɡ eː
සුගත්ලෑ,s u ɡ ʌ t̪ l æː
සුගත්වංශ,s u ɡ ʌ t̪ ʋ ʌ ʃ ə
සුගන‍ධිත,s u ɡ ʌ n̪ ʌ ‍ d̪ʱ i t̪ ə
සුගන්,s u ɡ ʌ n̪
සුගන්දන,s u ɡ ʌ n̪ d̪ ʌ n̪ ə
සුගන්දයත්,s u ɡ ʌ n̪ d̪ ʌ j ʌ t̪
සුගන්දයෙනුත්,s u ɡ ʌ n̪ d̪ ʌ j e n̪ u t̪
සුගන්දේ,s u ɡ ʌ n̪ d̪ eː
සුගන්ධමය,s u ɡ ʌ n̪ d̪ʱ ʌ m ʌ j ə
සුගන්ධයක්,s u ɡ ʌ n̪ d̪ʱ ʌ j ʌ k
සුගන්ධයත්,s u ɡ ʌ n̪ d̪ʱ ʌ j ʌ t̪
සුගන්ධයන්,s u ɡ ʌ n̪ d̪ʱ ʌ j ʌ n̪
සුගන්ධයයි,s u ɡ ʌ n̪ d̪ʱ ʌ j ʌ j i
සුගන්ධයල,s u ɡ ʌ n̪ d̪ʱ ʌ j ʌ l ə
සුගන්ධයෙන්,s u ɡ ʌ n̪ d̪ʱ ʌ j e n̪
සුගන්ධවත්,s u ɡ ʌ n̪ d̪ʱ ʌ ʋ ʌ t̪
සුගන්ධාකීර්ණ,s u ɡ ʌ n̪ d̪ʱ aː k iː r ɳ ə
සුගන්ධාදිය,s u ɡ ʌ n̪ d̪ʱ aː d̪ i j ə
සුගන්ධාලේපයක්,s u ɡ ʌ n̪ d̪ʱ aː l eː p ʌ j ʌ k
සුගන්ධාලේපිතයක්,s u ɡ ʌ n̪ d̪ʱ aː l eː p i t̪ ʌ j ʌ k
සුගන්ධි,s u ɡ ʌ n̪ d̪ʱ i
සුගන්ධිත,s u ɡ ʌ n̪ d̪ʱ i t̪ ə
සුගන්ධූඋසීර,s u ɡ ʌ n̪ d̪ʱ uː u s iː r ə
සුගන්ධේ,s u ɡ ʌ n̪ d̪ʱ eː
සුගන්ඳන,s u ɡ ʌ n̪ ඳ n̪ ə
සුගඳ,s u ɡ ʌ ඳ
සුගමත්වය,s u ɡ ʌ m ʌ t̪ ʋ ʌ j ə
සුගමත්වයට,s u ɡ ʌ m ʌ t̪ ʋ ʌ j ʌ ʈ ə
සුගමත්වයෙන්,s u ɡ ʌ m ʌ t̪ ʋ ʌ j e n̪
සුගමය,s u ɡ ʌ m ʌ j ə
සුගමවත්,s u ɡ ʌ m ʌ ʋ ʌ t̪
සුගම–සුන්දර,s u ɡ ʌ m ʌ – s u n̪ d̪ ʌ r ə
සුගලා,s u ɡ ʌ l
සුගලාගේ,s u ɡ ʌ l aː ɡ eː
සුගලාට,s u ɡ ʌ l aː ʈ ə
සුගලාදේවි,s u ɡ ʌ l aː d̪ eː ʋ i
සුගලාදේවිය,s u ɡ ʌ l aː d̪ eː ʋ i j ə
සුගවර,s u ɡ ʌ ʋ ʌ r ə
සුගායනගුණය,s u ɡ aː j ʌ n̪ ʌ ɡ u ɳ ʌ j ə
සුගායනය,s u ɡ aː j ʌ n̪ ʌ j ə
සුගායනයෙන්,s u ɡ aː j ʌ n̪ ʌ j e n̪
සුගායනා,s u ɡ aː j ʌ n̪
සුගායනීය,s u ɡ aː j ʌ n̪ iː j ə
සුගායිකාවගේ,s u ɡ aː j i k aː ʋ ʌ ɡ eː
සුගායිත,s u ɡ aː j i t̪ ə
සුගාවා,s u ɡ aː ʋ a
සුගැඹුරු,s u ɡ æ ඹ u r u
සුගැඹුරුවූ,s u ɡ æ ඹ u r u ʋ uː
සුගිය,s u ɡ i j ə
සුගී,s u ɡ iː
සුගීතය,s u ɡ iː t̪ ʌ j ə
සුගීතයක්,s u ɡ iː t̪ ʌ j ʌ k
සුගීශ්වර,s u ɡ iː ʃ ʋ ʌ r ə
සුගීස්වර,s u ɡ iː s ʋ ʌ r ə
සුගුණ,s u ɡ u ɳ ə
සුගුණතිස්ස,s u ɡ u ɳ ʌ t̪ i s s ə
සුගුණදාස,s u ɡ u ɳ ʌ d̪ aː s ə
සුගුණපාල,s u ɡ u ɳ ʌ p aː l ə
සුගුණසිරි,s u ɡ u ɳ ʌ s i r i
සුගුප්ත,s u ɡ u p t̪ ə
සුගුමාරන්,s u ɡ u m aː r ʌ n̪
සුගුලා,s u ɡ u l
සුගෙන,s u ɡ e n̪ ə
සුගේය,s u ɡ eː j ə
සුගේයපද,s u ɡ eː j ʌ p ʌ d̪ ə
සුගේයපදමාලාවෙන්,s u ɡ eː j ʌ p ʌ d̪ ʌ m aː l aː ʋ e n̪
සුගේයපදවලින්,s u ɡ eː j ʌ p ʌ d̪ ʌ ʋ ʌ l i n̪
සුගොරුකු,s u ɡ o r u k u
සුගෝපිත,s u ɡ oː p i t̪ ə
සුඞක,s u ŋ ʌ k ə
සුඞකර,s u ŋ ʌ k ʌ r ə
සුඞොදන,s u ŋ o d̪ ʌ n̪ ə
සුඞ්කූවත්ථු,s u ŋ k uː ʋ ʌ t̪ t̪ʰ u
සුඟ,s u ŋɡ ə
සුඟක්,s u ŋɡ ʌ k
සුච,s u ʧ ə
සුචනය,s u ʧ ʌ n̪ ʌ j ə
සුචරිත,s u ʧ ʌ r i t̪ ə
සුචරිතඇත්තෝ,s u ʧ ʌ r i t̪ æ t̪ t̪ oː
සුචරිතගම,s u ʧ ʌ r i t̪ ʌ ɡ ʌ m ə
සුචරිතගම්ලත්,s u ʧ ʌ r i t̪ ʌ ɡ ʌ m l ʌ t̪
සුචරිතට,s u ʧ ʌ r i t̪ ʌ ʈ ə
සුචරිතභාවය,s u ʧ ʌ r i t̪ ʌ bʱ aː ʋ ʌ j ə
සුචරිතයට,s u ʧ ʌ r i t̪ ʌ j ʌ ʈ ə
සුචරිතයත්,s u ʧ ʌ r i t̪ ʌ j ʌ t̪
සුචරිතයන්හි,s u ʧ ʌ r i t̪ ʌ j ʌ n̪ h i
සුචරිතයෙන්,s u ʧ ʌ r i t̪ ʌ j e n̪
සුචරිතයෙහි,s u ʧ ʌ r i t̪ ʌ j e h i
සුචරිතයෙහිද,s u ʧ ʌ r i t̪ ʌ j e h i d̪ ə
සුචරිතයේ,s u ʧ ʌ r i t̪ ʌ j eː
සුචරිතයේදී,s u ʧ ʌ r i t̪ ʌ j eː d̪ iː
සුචරිතවත්,s u ʧ ʌ r i t̪ ʌ ʋ ʌ t̪
සුචරිතවාදයක්,s u ʧ ʌ r i t̪ ʌ ʋ a d̪ ʌ j ʌ k
සුචරිතවාදි,s u ʧ ʌ r i t̪ ʌ ʋ a d̪ i
සුචරිතවාදී,s u ʧ ʌ r i t̪ ʌ ʋ a d̪ iː
සුචරිතවාදීන්,s u ʧ ʌ r i t̪ ʌ ʋ a d̪ iː n̪
සුචරිතවාදීන්ටය,s u ʧ ʌ r i t̪ ʌ ʋ a d̪ iː n̪ ʈ ʌ j ə
සුචරිතාත්මක,s u ʧ ʌ r i t̪ aː t̪ m ʌ k ə
සුචරිතානුශාසනා,s u ʧ ʌ r i t̪ aː n̪ u ʃ aː s ʌ n̪
සුචස්සේත,s u ʧ ʌ s s eː t̪ ə
සුචි,s u ʧ i
සුචිකරණය,s u ʧ i k ʌ r ʌ ɳ ʌ j ə
සුචිකරණයයි,s u ʧ i k ʌ r ʌ ɳ ʌ j ʌ j i
සුචිඝර,s u ʧ i ɡʱ ʌ r ə
සුචිණෙණා,s u ʧ i ɳ e ɳ
සුචිණ්ණ,s u ʧ i ɳ ɳ ə
සුචිත්,s u ʧ i t̪
සුචිත්‍ර,s u ʧ i t̪ ‍ r ə
සුචිත්‍රිත,s u ʧ i t̪ ‍ r i t̪ ə
සුචින්ත,s u ʧ i n̪ t̪ ə
සුචින්තික,s u ʧ i n̪ t̪ i k ə
සුචිපත්‍රවලට,s u ʧ i p ʌ t̪ ‍ r ʌ ʋ ʌ l ʌ ʈ ə
සුචියක්,s u ʧ i j ʌ k
සුචියටම,s u ʧ i j ʌ ʈ ʌ m ə
සුචියයි,s u ʧ i j ʌ j i
සුචියෙන්,s u ʧ i j e n̪
සුචියෙහි,s u ʧ i j e h i
සුචියේ,s u ʧ i j eː
සුචියේම,s u ʧ i j eː m ə
සුචිසලෙලබ,s u ʧ i s ʌ l e l ʌ b ə
සුචිසු,s u ʧ i s u
සුචී,s u ʧ iː
සුචීගේ,s u ʧ iː ɡ eː
සුචීට,s u ʧ iː ʈ ə
සුචීය,s u ʧ iː j ə
සුචීර්ණ,s u ʧ iː r ɳ ə
සුචීවංස,s u ʧ iː ʋ ʌ s ə
සුච්චාරණයක්,s u ʧ ʧ aː r ʌ ɳ ʌ j ʌ k
සුඡි,s u ʧʰ i
සුජක්ධනතී,s u ʤ ʌ k d̪ʱ ʌ n̪ ʌ t̪ iː
සුජඣති,s u ʤ ʌ ʤʱ ʌ t̪ i
සුජතා,s u ʤ ʌ t̪
සුජතාගේ,s u ʤ ʌ t̪ aː ɡ eː
සුජන,s u ʤ ʌ n̪ ə
සුජනකන්ත,s u ʤ ʌ n̪ ʌ k ʌ n̪ t̪ ə
සුජනකන්තාරාමයට,s u ʤ ʌ n̪ ʌ k ʌ n̪ t̪ aː r aː m ʌ j ʌ ʈ ə
සුජනම්,s u ʤ ʌ n̪ ʌ m
සුජනාර්ථමිද,s u ʤ ʌ n̪ aː r t̪ʰ ʌ m i d̪ ə
සුජන්ත,s u ʤ ʌ n̪ t̪ ə
සුජා,s u ʤ
සුජාගේ,s u ʤ aː ɡ eː
සුජාතකරණයට,s u ʤ aː t̪ ʌ k ʌ r ʌ ɳ ʌ j ʌ ʈ ə
සුජාතකාරී,s u ʤ aː t̪ ʌ k aː r iː
සුජාතගෙ,s u ʤ aː t̪ ʌ ɡ e
සුජාතගෙන්,s u ʤ aː t̪ ʌ ɡ e n̪
සුජාතගෙයි,s u ʤ aː t̪ ʌ ɡ e j i
සුජාතගේ,s u ʤ aː t̪ ʌ ɡ eː
සුජාතට,s u ʤ aː t̪ ʌ ʈ ə
සුජාතත්,s u ʤ aː t̪ ʌ t̪
සුජාතත්වය,s u ʤ aː t̪ ʌ t̪ ʋ ʌ j ə
සුජාතභාවය,s u ʤ aː t̪ ʌ bʱ aː ʋ ʌ j ə
සුජාතභාවයක්,s u ʤ aː t̪ ʌ bʱ aː ʋ ʌ j ʌ k
සුජාතයි,s u ʤ aː t̪ ʌ j i
සුජාතා,s u ʤ aː t̪
සුජාතාගෙ,s u ʤ aː t̪ aː ɡ e
සුජාතාගෙන්,s u ʤ aː t̪ aː ɡ e n̪
සුජාතාගේ,s u ʤ aː t̪ aː ɡ eː
සුජාතාගේත්,s u ʤ aː t̪ aː ɡ eː t̪
සුජාතාට,s u ʤ aː t̪ aː ʈ ə
සුජාතාටත්,s u ʤ aː t̪ aː ʈ ʌ t̪
සුජාතාටයි,s u ʤ aː t̪ aː ʈ ʌ j i
සුජාතාත්,s u ʤ aː t̪ aː t̪
සුජාතාද,s u ʤ aː t̪ aː d̪ ə
සුජාතායි,s u ʤ aː t̪ aː j i
සුජාතාලගෙ,s u ʤ aː t̪ aː l ʌ ɡ e
සුජාතාලයි,s u ʤ aː t̪ aː l ʌ j i
සුජාතාව,s u ʤ aː t̪ aː ʋ ə
සුජාතාවක්,s u ʤ aː t̪ aː ʋ ʌ k
සුජාතාවගේ,s u ʤ aː t̪ aː ʋ ʌ ɡ eː
සුජාතාවත්,s u ʤ aː t̪ aː ʋ ʌ t̪
සුජාතාවනි,s u ʤ aː t̪ aː ʋ ʌ n̪ i
සුජාතාවන්,s u ʤ aː t̪ aː ʋ ʌ n̪
සුජාතාවන්ට,s u ʤ aː t̪ aː ʋ ʌ n̪ ʈ ə
සුජාතාවෝ,s u ʤ aː t̪ aː ʋ oː
සුජාතාසභ,s u ʤ aː t̪ aː s ʌ bʱ ə
සුජාතො,s u ʤ aː t̪ o
සුජාතොපායනය,s u ʤ aː t̪ o p aː j ʌ n̪ ʌ j ə
සුජානියි,s u ʤ aː n̪ i j i
සුජාන්පූර්හි,s u ʤ aː n̪ p uː r h i
සුජිත්,s u ʤ i t̪
සුජිත්ට,s u ʤ i t̪ ʈ ə
සුජිත්ටත්,s u ʤ i t̪ ʈ ʌ t̪
සුජියා,s u ʤ i j
සුජී,s u ʤ iː
සුජීව,s u ʤ iː ʋ ə
සුජීවා,s u ʤ iː ʋ a
සුජ්ජි,s u ʤ ʤ i
සුඤඤත,s u ɲ ʌ ɲ ʌ t̪ ə
සුඤඤවාදී,s u ɲ ʌ ɲ ʌ ʋ a d̪ iː
සුඤ්ඤ,s u ɲ ɲ ə
සුඤ්ඤත,s u ɲ ɲ ʌ t̪ ə
සුඤ්ඤතා,s u ɲ ɲ ʌ t̪
සුඤ්ඤාගාර,s u ɲ ɲ aː ɡ aː r ə
සුඤ්ඤාගාරගතෝ,s u ɲ ɲ aː ɡ aː r ʌ ɡ ʌ t̪ oː
සුඤ්ඤාගාරයක්,s u ɲ ɲ aː ɡ aː r ʌ j ʌ k
සුට,s u ʈ ə
සුටඨුතාය,s u ʈ ʌ ʈʰ u t̪ aː j ə
සුටා,s u ʈ
සුටිකල්,s u ʈ i k ʌ l
සුටු,s u ʈ u
සුටුට්ගාමි,s u ʈ u ʈ ɡ aː m i
සුට්,s u ʈ
සුට්කේස්වල,s u ʈ k eː s ʋ ʌ l ə
සුට්ඨු,s u ʈ ʈʰ u
සුඩර්ඔල,s u ɖ ʌ r o l ə
සුඩර්ඔලි,s u ɖ ʌ r o l i
සුඩාන,s u ɖ aː n̪ ə
සුඩානය,s u ɖ aː n̪ ʌ j ə
සුඩානයට,s u ɖ aː n̪ ʌ j ʌ ʈ ə
සුඩානයේ,s u ɖ aː n̪ ʌ j eː
සුඩානයේද,s u ɖ aː n̪ ʌ j eː d̪ ə
සුඩානීයසුඩානය,s u ɖ aː n̪ iː j ʌ s u ɖ aː n̪ ʌ j ə
සුඩානු,s u ɖ aː n̪ u
සුඩාන්,s u ɖ aː n̪
සුඩෙටන්ලන්තය,s u ɖ e ʈ ʌ n̪ l ʌ n̪ t̪ ʌ j ə
සුණ,s u ɳ ə
සුණඛොබි,s u ɳ ʌ kʰ o b i
සුණත්,s u ɳ ʌ t̪
සුණන්ති,s u ɳ ʌ n̪ t̪ i
සුණන්තු,s u ɳ ʌ n̪ t̪ u
සුණහ,s u ɳ ʌ h ə
සුණා,s u ɳ
සුණාති,s u ɳ aː t̪ i
සුණාය,s u ɳ aː j ə
සුණි,s u ɳ i
සුණිත්වාන,s u ɳ i t̪ ʋ a n̪ ə
සුණින්,s u ɳ i n̪
සුණිල්,s u ɳ i l
සුණිසා,s u ɳ i s
සුණිසාවන්,s u ɳ i s aː ʋ ʌ n̪
සුණීසා,s u ɳ iː s
සුණු,s u ɳ u
සුණුකර,s u ɳ u k ʌ r ə
සුණුද,s u ɳ u d̪ ə
සුණුය,s u ɳ u j ə
සුණුයේ,s u ɳ u j eː
සුණුවලින්,s u ɳ u ʋ ʌ l i n̪
සුණුවිසුණු,s u ɳ u ʋ i s u ɳ u
සුණුසහල්,s u ɳ u s ʌ h ʌ l
සුණූ,s u ɳ uː
සුණෙන්,s u ɳ e n̪
සුණෙමු,s u ɳ e m u
සුණේ,s u ɳ eː
සුණේත්,s u ɳ eː t̪
සුණෝය,s u ɳ oː j ə
සුණ්ණ,s u ɳ ɳ ə
සුණ්ණෙහි,s u ɳ ɳ e h i
සුඬගුණෙහි,s u ඬ ɡ u ɳ e h i
සුඬනොවී,s u ඬ n̪ o ʋ iː
සුඬාවාසි,s u ඬ aː ʋ a s i
සුත,s u t̪ ə
සුතත,s u t̪ ʌ t̪ ə
සුතතනත,s u t̪ ʌ t̪ ʌ n̪ ʌ t̪ ə
සුතතනතයට,s u t̪ ʌ t̪ ʌ n̪ ʌ t̪ ʌ j ʌ ʈ ə
සුතතනතික,s u t̪ ʌ t̪ ʌ n̪ ʌ t̪ i k ə
සුතතවාදී,s u t̪ ʌ t̪ ʌ ʋ a d̪ iː
සුතතවිඤඤතති,s u t̪ ʌ t̪ ʌ ʋ i ɲ ʌ ɲ ʌ t̪ ʌ t̪ i
සුතතවිභංග,s u t̪ ʌ t̪ ʌ ʋ i bʱ ʌ ɡ ə
සුතත්,s u t̪ ʌ t̪
සුතථ්‍ය,s u t̪ ʌ t̪ʰ ‍ j ə
සුතථ්‍යභාවයෙන්,s u t̪ ʌ t̪ʰ ‍ j ʌ bʱ aː ʋ ʌ j e n̪
සුතධර,s u t̪ ʌ d̪ʱ ʌ r ə
සුතධරො,s u t̪ ʌ d̪ʱ ʌ r o
සුතධරෝ,s u t̪ ʌ d̪ʱ ʌ r oː
සුතනඹු,s u t̪ ʌ n̪ ʌ ඹ u
සුතනඹුවන්,s u t̪ ʌ n̪ ʌ ඹ u ʋ ʌ n̪
සුතනු,s u t̪ ʌ n̪ u
සුතන්,s u t̪ ʌ n̪
සුතපෙමින්,s u t̪ ʌ p e m i n̪
සුතමය,s u t̪ ʌ m ʌ j ə
සුතය,s u t̪ ʌ j ə
සුතයට,s u t̪ ʌ j ʌ ʈ ə
සුතයෙන්,s u t̪ ʌ j e n̪
සුතරාසථිතම්,s u t̪ ʌ r aː s ʌ t̪ʰ i t̪ ʌ m
සුතර්ක,s u t̪ ʌ r k ə
සුතසනනිචයො,s u t̪ ʌ s ʌ n̪ ʌ n̪ i ʧ ʌ j o
සුතසන්නිචයෝ,s u t̪ ʌ s ʌ n̪ n̪ i ʧ ʌ j oː
සුතසෙ,s u t̪ ʌ s e
සුතසෝම,s u t̪ ʌ s oː m ə
සුතස්‍ය,s u t̪ ʌ s ‍ j ə
සුතා,s u t̪
සුතාමරසිංහමාඝධනිකාන්සෙය,s u t̪ aː m ʌ r ʌ s i h ʌ m aː ɡʱ ʌ d̪ʱ ʌ n̪ i k aː n̪ s e j ə
සුති,s u t̪ i
සුතික,s u t̪ i k ə
සුතිකා,s u t̪ i k
සුතිකාව,s u t̪ i k aː ʋ ə
සුතිකාවන්,s u t̪ i k aː ʋ ʌ n̪
සුතිඝර,s u t̪ i ɡʱ ʌ r ə
සුතිඝරචේතිය,s u t̪ i ɡʱ ʌ r ʌ ʧ eː t̪ i j ə
සුතිසු,s u t̪ i s u
සුතුර,s u t̪ u r ə
සුතුරය,s u t̪ u r ʌ j ə
සුතුරු,s u t̪ u r u
සුතුරෙහි,s u t̪ u r e h i
සුතුරේ,s u t̪ u r eː
සුතෙතන,s u t̪ e t̪ ʌ n̪ ə
සුතෙන,s u t̪ e n̪ ə
සුතෙනවා,s u t̪ e n̪ ə ʋ a
සුතේ,s u t̪ eː
සුතොද්වාහො,s u t̪ o d̪ ʋ a h o
සුතෝ,s u t̪ oː
සුත්,s u t̪
සුත්ටා,s u t̪ ʈ
සුත්ත,s u t̪ t̪ ə
සුත්තක,s u t̪ t̪ ʌ k ə
සුත්තත්ත,s u t̪ t̪ ʌ t̪ t̪ ə
සුත්තනිදෙදසයෙහි,s u t̪ t̪ ʌ n̪ i d̪ e d̪ ʌ s ʌ j e h i
සුත්තනිපාත,s u t̪ t̪ ʌ n̪ i p aː t̪ ə
සුත්තනිපාතය,s u t̪ t̪ ʌ n̪ i p aː t̪ ʌ j ə
සුත්තනිපාතයෙහි,s u t̪ t̪ ʌ n̪ i p aː t̪ ʌ j e h i
සුත්තනිපාතයේ,s u t̪ t̪ ʌ n̪ i p aː t̪ ʌ j eː
සුත්තන්ත,s u t̪ t̪ ʌ n̪ t̪ ə
සුත්තන්තට්ඨ,s u t̪ t̪ ʌ n̪ t̪ ʌ ʈ ʈʰ ə
සුත්තන්තයට,s u t̪ t̪ ʌ n̪ t̪ ʌ j ʌ ʈ ə
සුත්තන්තයෙහි,s u t̪ t̪ ʌ n̪ t̪ ʌ j e h i
සුත්තන්තයේ,s u t̪ t̪ ʌ n̪ t̪ ʌ j eː
සුත්තන්තික,s u t̪ t̪ ʌ n̪ t̪ i k ə
සුත්තන්තිකයින්,s u t̪ t̪ ʌ n̪ t̪ i k ʌ j i n̪
සුත්තපිටකය,s u t̪ t̪ ʌ p i ʈ ʌ k ʌ j ə
සුත්තමය,s u t̪ t̪ ʌ m ʌ j ə
සුත්තය,s u t̪ t̪ ʌ j ə
සුත්තයේ,s u t̪ t̪ ʌ j eː
සුත්තරයක්,s u t̪ t̪ ʌ r ʌ j ʌ k
සුත්තවිභංග,s u t̪ t̪ ʌ ʋ i bʱ ʌ ɡ ə
සුත්තවිභංගය,s u t̪ t̪ ʌ ʋ i bʱ ʌ ɡ ʌ j ə
සුත්තවිභංගයට,s u t̪ t̪ ʌ ʋ i bʱ ʌ ɡ ʌ j ʌ ʈ ə
සුත්තවිභංගයෙන්,s u t̪ t̪ ʌ ʋ i bʱ ʌ ɡ ʌ j e n̪
සුත්තවිභංගයේ,s u t̪ t̪ ʌ ʋ i bʱ ʌ ɡ ʌ j eː
සුත්තවිභංයේ,s u t̪ t̪ ʌ ʋ i bʱ ʌ j eː
සුත්තවිහංගයේ,s u t̪ t̪ ʌ ʋ i h ʌ ɡ ʌ j eː
සුත්තානි,s u t̪ t̪ aː n̪ i
සුත්තානුලොම,s u t̪ t̪ aː n̪ u l o m ə
සුත්තානුලෝම,s u t̪ t̪ aː n̪ u l oː m ə
සුත්තෙ,s u t̪ t̪ e
සුත්තේ,s u t̪ t̪ eː
සුත්ඵුල්ල,s u t̪ pʰ u l l ə
සුත්‍ර,s u t̪ ‍ r ə
සුත්‍රගත,s u t̪ ‍ r ʌ ɡ ʌ t̪ ə
සුත්‍රත්,s u t̪ ‍ r ʌ t̪
සුත්‍රද,s u t̪ ‍ r ʌ d̪ ə
සුත්‍රධර්‍මය,s u t̪ ‍ r ʌ d̪ʱ ʌ r ‍ m ʌ j ə
සුත්‍රධර්මයන්,s u t̪ ‍ r ʌ d̪ʱ ʌ r m ʌ j ʌ n̪
සුත්‍රධාර,s u t̪ ‍ r ʌ d̪ʱ aː r ə
සුත්‍රන්තික,s u t̪ ‍ r ʌ n̪ t̪ i k ə
සුත්‍රපිටකයේ,s u t̪ ‍ r ʌ p i ʈ ʌ k ʌ j eː
සුත්‍රය‚අලගද්දුපම,s u t̪ ‍ r ʌ j ʌ ‚ ʌ l ʌ ɡ ʌ d̪ d̪ u p ʌ m ə
සුත්‍රයක්,s u t̪ ‍ r ʌ j ʌ k
සුත්‍රයට,s u t̪ ‍ r ʌ j ʌ ʈ ə
සුත්‍රයත්,s u t̪ ‍ r ʌ j ʌ t̪
සුත්‍රයන්හි,s u t̪ ‍ r ʌ j ʌ n̪ h i
සුත්‍රයෙන්,s u t̪ ‍ r ʌ j e n̪
සුත්‍රයෙහි,s u t̪ ‍ r ʌ j e h i
සුත්‍රයෙහිද,s u t̪ ‍ r ʌ j e h i d̪ ə
සුත්‍රයේ,s u t̪ ‍ r ʌ j eː
සුත්‍රයේදී,s u t̪ ‍ r ʌ j eː d̪ iː
